student_id,career,period,year,partial_1,partial_2,partial_3,partial_4,total,exam_type,percentage
stu_928ed8d8002574223ba627b51c447ab6,,P,2020,30.0,40.0,10.0,0.0,80.0,DMU,53.33333333333334
stu_72fe6c72bf61878a251e2f06c2ef1f60,Economía,P,2020,30.0,10.0,20.0,20.0,80.0,DMU,53.33333333333334
stu_0d73d6d2119599e48c03a1ea1b9bd9f2,Administración de Empresas,P,2020,20.0,20.0,20.0,0.0,60.0,DMU,40.0
stu_3840833d6aad929895ff4d6eeb243b2d,Actuaría,P,2020,30.0,40.0,20.0,20.0,110.0,DMU,73.33333333333333
stu_a845a911b67ee81725b8ccabbbb2b8e8,Administración de Empresas,P,2020,30.0,20.0,10.0,0.0,60.0,DMU,40.0
stu_c7ebfe1864dce5da4dfd11621daeaf3c,Economía,P,2020,20.0,0.0,10.0,0.0,30.0,DMU,20.0
stu_a7d94989a881677aa9199b7c9f24a96f,,P,2020,10.0,30.0,20.0,0.0,60.0,DMU,40.0
stu_f2aacc7a4c6541be2a40d6d0887221a8,,P,2020,10.0,40.0,30.0,20.0,100.0,DMU,66.66666666666666
stu_004d27b300b9c4f7f4d4de094bf2b1b2,,P,2020,20.0,30.0,40.0,20.0,110.0,DMU,73.33333333333333
stu_a67efb43934fbcd309210724b9d360bf,Actuaría,P,2020,40.0,40.0,30.0,10.0,120.0,DMU,80.0
stu_03375ef956ffc1068dc93274ed1c3603,Ingeniería Biomédica,P,2020,40.0,20.0,40.0,10.0,110.0,DMU,73.33333333333333
stu_c2bc5205339de6bf07c3a063e22dfc45,Ingeniería Mecatrónica,P,2020,10.0,10.0,20.0,20.0,60.0,DMU,40.0
stu_7e236e6402e1e69d776f312a26eba74f,Economía,P,2020,30.0,10.0,10.0,0.0,50.0,DMU,33.33333333333333
stu_c4c1a08272dd7a53fafa49e2d2bdbb1f,Ingeniería Industrial,P,2020,20.0,10.0,20.0,0.0,50.0,DMU,33.33333333333333
stu_5774f42f17ac834fdbb5873881920a9e,,P,2020,20.0,20.0,30.0,30.0,100.0,DMU,66.66666666666666
stu_e3c291952be0a397df241580e1bf2ad2,Actuaría,P,2020,40.0,30.0,20.0,10.0,100.0,DMU,66.66666666666666
stu_b2096464cf37274eb60c699e9b7bc9af,Ingeniería Civil,P,2020,10.0,10.0,10.0,0.0,30.0,DMU,20.0
stu_c93e1115814f5968c39895871197b581,,P,2020,10.0,20.0,20.0,0.0,50.0,DMU,33.33333333333333
stu_1ab1eddceef0bdf628932365992c330a,,P,2020,20.0,20.0,40.0,10.0,90.0,DMU,60.0
stu_83c55b87bcd45e114aeae74213e0b12c,Actuaría,P,2020,40.0,40.0,20.0,20.0,120.0,DMU,80.0
stu_95386d719eb45b11b186518ec8e20ab3,Actuaría,P,2020,20.0,20.0,20.0,20.0,80.0,DMU,53.33333333333334
stu_f918ca820a2d2716e190ccf264b9a940,,P,2020,40.0,10.0,10.0,10.0,70.0,DMU,46.66666666666666
stu_8edf19efd21fc188b53a181516da961c,Ingeniería Mecatrónica,P,2020,30.0,10.0,40.0,20.0,100.0,DMU,66.66666666666666
stu_4b5c9dbf87690d2e964bba1e18f02615,Ingeniería Industrial,P,2020,20.0,0.0,20.0,0.0,40.0,DMU,26.66666666666667
stu_8d1f9e0af61fef734864a022750f0008,Ingeniería Química,P,2020,20.0,30.0,30.0,20.0,100.0,DMU,66.66666666666666
