subject_id,subject_name,source_status
SUBJ_INTELIGENCIA_COMPUTACIONAL,Inteligencia Computacional,catalog_and_or_advisory
SUBJ_INTRODUCCION_A_LA_INGENIERIA_ESTRUCTURAL,Introducción a la Ingeniería Estructural,catalog_and_or_advisory
SUBJ_INTRODUCCION_A_LA_NANOTECNOLOGIA,Introducción a la Nanotecnología,catalog_and_or_advisory
SUBJ_INVESTIGACION_DE_OPERACIONES_I,Investigación de Operaciones I,catalog_and_or_advisory
SUBJ_INVESTIGACION_DE_OPERACIONES_II,Investigación de Operaciones II,catalog_and_or_advisory
SUBJ_INVESTIGACION_EN_ENFERMERIA,Investigación en Enfermería,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_ANATOMIA_Y_FISIOLOGIA,Laboratorio de Anatomía y Fisiología,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_BIOLOGIA_CELULAR,Laboratorio de Biología Celular,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_BIOLOGIA_CELULAR_Y_MOLECULAR,Laboratorio de Biología Celular y Molecular,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_BIOLOGIA_DEL_DESARROLLO,Laboratorio de Biología del Desarrollo,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_BIOLOGIA_MOLECULAR,Laboratorio de Biología Molecular,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_BIOQUIMICA_I,Laboratorio de Bioquímica I,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_BIOQUIMICA_II,Laboratorio de Bioquímica II,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_BOTANICA,Laboratorio de Botánica,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_CALIDAD_DEL_AGUA,Laboratorio de Calidad del Agua,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_CALOR_Y_ONDAS,Laboratorio de Calor y Ondas,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_CIENCIAS_DE_PLANTAS,Laboratorio de Ciencias de Plantas,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_DIBUJO_APLICADO_A_LA_INGENIERIA_CIVIL,Laboratorio de Dibujo Aplicado a la Ingeniería Civil,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_ESTRUCTURAS,Laboratorio de Estructuras,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_FARMACOLOGIA_Y_FARMACOGNOSIA,Laboratorio de Farmacología y Farmacognosia,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_FISICA_GENERAL,Laboratorio de Física General,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_FISICA_GENERAL_I,Laboratorio de Física General I,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_FISICA_GENERAL_II,Laboratorio de Física General II,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_FISICOQUIMICA,Laboratorio de Fisicoquímica,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_FISICOQUIMICA_DE_SUPERFICIES,Laboratorio de Fisicoquímica de Superficies,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_FISIOLOGIA_ANIMAL,Laboratorio de Fisiología Animal,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_GENETICA_Y_BIOLOGIA_EVOLUTIVA,Laboratorio de Genética y Biología Evolutiva,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_HIDRAULICA_GENERAL,Laboratorio de Hidráulica General,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_INVESTIGACION,Laboratorio de Investigación,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_MATERIALES,Laboratorio de Materiales,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_MICROBIOLOGIA,Laboratorio de Microbiología,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_NANOBIOTECNOLOGIA,Laboratorio de Nanobiotecnología,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_NANOMATERIALES_FUNCIONALES,Laboratorio de Nanomateriales Funcionales,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_OPTICA,Laboratorio de Óptica,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_PAVIMENTOS,Laboratorio de Pavimentos,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_QUIMICA_ANALITICA,Laboratorio de Química Analítica,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_QUIMICA_DE_MATERIALES,Laboratorio de Química de Materiales,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_QUIMICA_GENERAL,Laboratorio de Química General,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_QUIMICA_INORGANICA_I,Laboratorio de Química Inorgánica I,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_QUIMICA_INORGANICA_II,Laboratorio de Química Inorgánica II,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_QUIMICA_ORGANICA_I,Laboratorio de Química Orgánica I,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_QUIMICA_ORGANICA_II,Laboratorio de Química Orgánica II,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_TERMODINAMICA_QUIMICA,Laboratorio de Termodinámica Química,catalog_and_or_advisory
SUBJ_LABORATORIO_DE_ZOOLOGIA_DE_VERTEBRADOS,Laboratorio de Zoología de Vertebrados,catalog_and_or_advisory
SUBJ_LENGUA_EXTRANJERA_I,Lengua Extranjera I,catalog_and_or_advisory
SUBJ_LENGUA_EXTRANJERA_II,Lengua Extranjera II,catalog_and_or_advisory
SUBJ_LENGUA_EXTRANJERA_III,Lengua Extranjera III,catalog_and_or_advisory
SUBJ_LOGISTICA_Y_CADENAS_DE_SUMINISTRO,Logística y Cadenas de Suministro,catalog_and_or_advisory
SUBJ_MATEMATICAS_ACTUARIALES_DEL_SEGURO_DE_DANOS,Matemáticas Actuariales del Seguro de Daños,catalog_and_or_advisory
SUBJ_MATEMATICAS_ACTUARIALES_DEL_SEGURO_DE_VIDA,Matemáticas Actuariales del Seguro de Vida,catalog_and_or_advisory
