course_code,subject_id,catalog_name,course_code_ambiguous
LEF1013,SUBJ_FUNDAMENTOS_DE_ENFERMERIA,Fundamentos de Enfermería,False
LEF1023,SUBJ_ANATOMIA_Y_FISIOLOGIA_HUMANA,Anatomía y Fisiología Humana,False
LEF1033,SUBJ_PRACTICAS_DE_PRINCIPIOS_BASICOS_DE_ENFERMERIA,Prácticas de Principios Básicos de Enfermería,False
LEF1043,SUBJ_BIOQUIMICA_HUMANA,Bioquímica Humana,False
LEF1053,SUBJ_MICROBIOLOGIA_Y_PARASITOLOGIA,Microbiología y Parasitología,False
LEF1063,SUBJ_FARMACOLOGIA,Farmacología,False
LEF1073,SUBJ_ENFERMERIA_MEDICO_QUIRURGICA_I,Enfermería Médico-Quirúrgica I,False
LEF1083,SUBJ_ENFERMERIA_MEDICO_QUIRURGICA_II,Enfermería Médico-Quirúrgica II,False
LEF1093,SUBJ_ENFERMERIA_MATERNO_INFANTIL,Enfermería Materno-Infantil,False
LEF1103,SUBJ_ENFERMERIA_PEDIATRICA,Enfermería Pediátrica,False
LEF1113,SUBJ_ENFERMERIA_EN_SALUD_MENTAL,Enfermería en Salud Mental,False
LEF1123,SUBJ_ENFERMERIA_COMUNITARIA,Enfermería Comunitaria,False
LEF1133,SUBJ_ADMINISTRACION_EN_ENFERMERIA,Administración en Enfermería,False
LEF1143,SUBJ_INVESTIGACION_EN_ENFERMERIA,Investigación en Enfermería,False
LEF1153,SUBJ_ETICA_Y_LEGISLACION_EN_ENFERMERIA,Ética y Legislación en Enfermería,False
LEF1163,SUBJ_PRACTICAS_CLINICAS_I,Prácticas Clínicas I,False
LEF1173,SUBJ_PRACTICAS_CLINICAS_II,Prácticas Clínicas II,False
LEF1183,SUBJ_PRACTICAS_CLINICAS_III,Prácticas Clínicas III,False
LEF1193,SUBJ_PRACTICAS_CLINICAS_IV,Prácticas Clínicas IV,False
LEF1203,SUBJ_SEMINARIO_DE_TITULACION,Seminario de Titulación,False
LEX0112,SUBJ_LENGUA_EXTRANJERA_I,Lengua Extranjera I,False
LEX0113,SUBJ_LENGUA_EXTRANJERA_I,Lengua Extranjera I,False
LEX0122,SUBJ_LENGUA_EXTRANJERA_II,Lengua Extranjera II,False
LEX0123,SUBJ_LENGUA_EXTRANJERA_II,Lengua Extranjera II,False
LEX0132,SUBJ_LENGUA_EXTRANJERA_III,Lengua Extranjera III,False
LEX0133,SUBJ_LENGUA_EXTRANJERA_III,Lengua Extranjera III,False
LFA1013,SUBJ_FISICA_GENERAL_I,Física General I,False
LFA1023,SUBJ_LABORATORIO_DE_FISICA_GENERAL_I,Laboratorio de Física General I,False
LFA1033,SUBJ_CALOR_Y_ONDAS,Calor y Ondas,False
LFA1043,SUBJ_LABORATORIO_DE_CALOR_Y_ONDAS,Laboratorio de Calor y Ondas,False
LFA2012,SUBJ_CALOR_ONDAS_Y_FUIDOS,"Calor, Ondas y Fuidos",False
LFA2013,SUBJ_FISICA_GENERAL_II,Física General II,False
LFA2023,SUBJ_LABORATORIO_DE_FISICA_GENERAL_II,Laboratorio de Física General II,False
