performance_cut,difficulty_quantile,difficulty_pass_rate_cut,state,n,first_cmat_use_rate,mean_first_cmat_visits,eventual_mu_pass_rate,observed_later_calc_rate
-0.5,0.3333333333333333,0.6666666666666666,adverse_or_nonnumeric,1101,0.16167120799273388,0.3823796548592189,0.44232515894641233,0.19709355131698456
-0.5,0.333333333333333,0.6666666666666666,compounded_strain,240,0.09166666666666666,0.2125,0.3541666666666667,0.20416666666666666
-0.5,0.3333333333333333,0.6666666666666666,contextual_challenge,1426,0.2755960729312763,0.9894810659186536,0.982468443197756,0.7678821879382889
-0.5,0.3333333333333333,0.6666666666666666,individual_strain,595,0.09243697478991597,0.24033613445378152,0.6033613445378151,0.43865546218487395
-0.5,0.3333333333333333,0.6666666666666666,lower_strain,3265,0.17947932618683002,0.47350689127105666,0.9978560490045941,0.7745788667687595
-0.25,0.2,0.603448275862069,adverse_or_nonnumeric,1101,0.16167120799273388,0.3823796548592189,0.44232515894641233,0.19709355131698456
-0.25,0.2,0.603448275862069,compounded_strain,155,0.11612903225806452,0.3870967741935484,0.4129032258064516,0.25806451612903225
-0.25,0.2,0.6034448275862069,contextual_challenge,757,0.2800528401585205,1.0726552179656539,0.9867899603698811,0.7371202113606341
-0.25,0.2,0.603448275862069,individual_strain,974,0.12320328542094455,0.3316221765913758,0.675564681724846,0.4948665297741273
-0.25,0.2,0.603448275862069,lower_strain,3640,0.19395604395604396,0.5373626373626373,0.9983516483516484,0.7840659340659341
-0.25,0.25,0.6206896551724138,adverse_or_nonnumeric,1101,0.16167120799273388,0.3823796548592189,0.44232515894641233,0.19709355131698456
-0.25,0.25,0.6206896551724138,compounded_strain,198,0.111111111111111,0.3434343434343434,0.3888888888888889,0.23737373737373738
-0.25,0.25,0.6206896551724138,contextual_challenge,976,0.28688524590163933,1.0543032786885247,0.985655737704918,0.7694672131147541
-0.25,0.25,0.6206896551724138,individual_strain,931,0.12459720730397422,0.3383458646616541,0.6928034371643395,0.5102040816326531
-0.25,0.25,0.6206896551724138,lower_strain,3421,0.1864951768488746,0.5083308973984215,0.9994153756211634,0.777842736042093
-0.25,0.3333333333333333,0.6666666666666666,adverse_or_nonnumeric,1101,0.16167120799273388,0.3823796548592189,0.44232515894641233,0.19709355131698456
-0.25,0.3333333333333333,0.6666666666666666,compounded_strain,306,0.13071895424836602,0.40522875816993464,0.46078431372549017,0.30392156862745096
-0.25,0.33333333333333333,0.6666666666666666,contextual_challenge,1360,0.2757352941176471,0.9838235294117647,0.9889705882352942,0.7727941176470589
-0.25,0.33333333333333333,0.6666666666666666,individual_strain,823,0.11907654921020656,0.31470230862697446,0.7059538274605103,0.5212636695018226
-0.25,0.3333333333333333,0.6666666666666666,lower_strain,3037,0.1787948633519921,0.4708594007243991,0.9996707276918011,0.7774119196575568
