model,term,coef,cluster_se,p_value,ci95_low,ci95_high,n,calc_classrooms,covariance
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LDS],0.4704541494117984,0.12106057713026462,0.00010186533819393842,0.23317977828884642,0.7077285205347504,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LEC],0.1541940985000105,0.09146648715012407,0.09183455011304816,-0.02507692210662832,0.33346511910664933,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LFA],0.6247310777831843,0.07304188215950566,1.1987498505879347e-17,0.48157161938753446,0.7678905361788341,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LFB],0.1395818431584226,0.09223076221212799,0.13017861450286872,-0.04118712904402602,0.3203508153608712,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LFP],0.022459524805874008,0.07816707359736699,0.7738618132282484,-0.13074512422185705,0.17566417383360508,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LIC],-0.2107149735418619,0.10336547032780215,0.041495642041042134,-0.4133075726293977,-0.008122374454326065,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LII],0.12170805287804302,0.06742960622812463,0.07108022023528443,-0.010451546820798976,0.25386765257688504,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LIM],-0.14972615571333728,0.11249551919700473,0.18320474853586788,-0.3702133217616008,0.07076101033492627,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LIN],0.24539995872801523,0.11821999151693838,0.03791331305029135,0.013693033102185309,0.4771068843538452,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LIS],0.16140306422800463,0.07593063858502525,0.033531203386044525,0.012581747278227778,0.3102243811777815,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LMK],-0.01442643332493704,0.0919945244583735,0.8753879781021159,-0.19473238803823822,0.16587952138836415,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LMT],0.11234200401095058,0.09120772233549751,0.21805521921096183,-0.066421846878554,0.29110585490045515,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LNA],0.12020794535117017,0.12422300523051417,0.333204902698477,-0.12326467095196837,0.36368056165430873,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LNI],0.03360829464936172,0.06868010116986319,0.6245971526088916,-0.10100223009813736,0.16821881939686079,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LNM],0.23569133229345599,0.07198636996331387,0.0010599514030173519,0.09460063978758487,0.3767820247993271,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LQI],0.1100385130226537,0.08757327296970632,0.2089235933569923,-0.061601948006265714,0.2816789740515731,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.LRT],0.1804892525730686,0.12710691656165649,0.15561356510008312,-0.06863572607371582,0.42961423121985304,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_CAREER_MODEL)[T.OTHER],0.04138604850080379,0.10783399686321198,0.7011310838448724,-0.16996470166009683,0.2527367986617044,3241,145,cluster-robust by Calculus course classroom
plus_calc_major_and_period,C(CALC_PERIOD_LABEL)[T.2020-OTONO],0.13517008075920497,0.0898481960617865,0.13247137434968612,-0.040929147597790094,0.31126930911620004,3241,145,cluster-robust by Calculus course classroom
