population,YEAR,SESSION,VISIT_DATE,visits,unique_students
All CMAT,2022,OTONO,2022-09-23,9,8
All CMAT,2022,OTONO,2022-09-26,53,52
All CMAT,2022,OTONO,2022-09-27,36,35
All CMAT,2022,OTONO,2022-09-28,28,28
All CMAT,2022,OTONO,2022-09-29,35,31
All CMAT,2022,OTONO,2022-09-30,12,11
All CMAT,2022,OTONO,2022-10-02,13,12
All CMAT,2022,OTONO,2022-10-03,7,7
All CMAT,2022,OTONO,2022-10-10,31,23
All CMAT,2022,OTONO,2022-10-11,32,28
All CMAT,2022,OTONO,2022-10-13,35,34
All CMAT,2022,OTONO,2022-10-14,16,16
All CMAT,2022,OTONO,2022-10-17,24,22
All CMAT,2022,OTONO,2022-10-18,26,24
All CMAT,2022,OTONO,2022-10-19,30,29
All CMAT,2022,OTONO,2022-10-20,43,40
All CMAT,2022,OTONO,2022-10-21,11,9
All CMAT,2022,OTONO,2022-10-24,18,18
All CMAT,2022,OTONO,2022-10-25,23,22
All CMAT,2022,OTONO,2022-10-26,36,36
All CMAT,2022,OTONO,2022-10-27,48,45
All CMAT,2022,OTONO,2022-10-28,24,20
All CMAT,2022,OTONO,2022-10-31,26,25
All CMAT,2022,OTONO,2022-11-02,5,5
All CMAT,2022,OTONO,2022-11-03,15,13
All CMAT,2022,OTONO,2022-11-10,26,24
All CMAT,2022,OTONO,2022-11-11,26,24
All CMAT,2022,OTONO,2022-11-14,27,26
All CMAT,2022,OTONO,2022-11-15,46,45
All CMAT,2022,OTONO,2022-11-16,32,32
All CMAT,2022,OTONO,2022-11-17,47,44
All CMAT,2022,OTONO,2022-11-18,18,18
All CMAT,2022,OTONO,2022-11-22,37,34
All CMAT,2022,OTONO,2022-11-23,37,34
All CMAT,2022,OTONO,2022-11-24,39,33
All CMAT,2022,OTONO,2022-11-25,11,11
All CMAT,2022,OTONO,2022-12-09,26,26
All CMAT,2022,OTONO,2022-12-10,20,20
All CMAT,2022,PRIMAVERA,2022-01-02,11,11
All CMAT,2022,PRIMAVERA,2022-01-03,7,7
All CMAT,2022,PRIMAVERA,2022-01-04,3,3
All CMAT,2022,PRIMAVERA,2022-01-09,33,31
All CMAT,2022,PRIMAVERA,2022-01-11,29,27
All CMAT,2022,PRIMAVERA,2022-01-19,2,2
All CMAT,2022,PRIMAVERA,2022-01-20,3,3
All CMAT,2022,PRIMAVERA,2022-01-21,2,2
All CMAT,2022,PRIMAVERA,2022-01-24,2,2
All CMAT,2022,PRIMAVERA,2022-01-25,4,4
All CMAT,2022,PRIMAVERA,2022-01-26,6,6
All CMAT,2022,PRIMAVERA,2022-01-27,3,3
All CMAT,2022,PRIMAVERA,2022-01-28,1,1
All CMAT,2022,PRIMAVERA,2022-01-31,16,16
All CMAT,2022,PRIMAVERA,2022-02-02,8,7
All CMAT,2022,PRIMAVERA,2022-02-03,11,10
All CMAT,2022,PRIMAVERA,2022-02-05,6,6
All CMAT,2022,PRIMAVERA,2022-02-09,16,16
All CMAT,2022,PRIMAVERA,2022-02-11,39,36
All CMAT,2022,PRIMAVERA,2022-02-14,7,7
All CMAT,2022,PRIMAVERA,2022-02-15,14,12
All CMAT,2022,PRIMAVERA,2022-02-16,4,4
All CMAT,2022,PRIMAVERA,2022-02-17,22,22
All CMAT,2022,PRIMAVERA,2022-02-18,3,3
All CMAT,2022,PRIMAVERA,2022-02-21,3,3
All CMAT,2022,PRIMAVERA,2022-02-22,6,6
All CMAT,2022,PRIMAVERA,2022-02-23,3,3
All CMAT,2022,PRIMAVERA,2022-02-24,6,6
All CMAT,2022,PRIMAVERA,2022-02-25,2,2
All CMAT,2022,PRIMAVERA,2022-02-28,1,1
All CMAT,2022,PRIMAVERA,2022-03-02,9,8
All CMAT,2022,PRIMAVERA,2022-03-03,7,7
All CMAT,2022,PRIMAVERA,2022-03-05,3,3
All CMAT,2022,PRIMAVERA,2022-03-10,53,47
All CMAT,2022,PRIMAVERA,2022-03-11,45,42
All CMAT,2022,PRIMAVERA,2022-03-14,7,7
All CMAT,2022,PRIMAVERA,2022-03-15,3,3
All CMAT,2022,PRIMAVERA,2022-03-16,8,7
All CMAT,2022,PRIMAVERA,2022-03-17,1,1
All CMAT,2022,PRIMAVERA,2022-03-18,3,3
All CMAT,2022,PRIMAVERA,2022-03-22,10,8
All CMAT,2022,PRIMAVERA,2022-03-23,4,3
All CMAT,2022,PRIMAVERA,2022-03-24,8,6
All CMAT,2022,PRIMAVERA,2022-03-25,2,2
All CMAT,2022,PRIMAVERA,2022-03-28,5,5
All CMAT,2022,PRIMAVERA,2022-03-29,12,10
All CMAT,2022,PRIMAVERA,2022-03-30,2,2
All CMAT,2022,PRIMAVERA,2022-03-31,2,2
All CMAT,2022,PRIMAVERA,2022-04-02,5,5
All CMAT,2022,PRIMAVERA,2022-04-03,10,9
All CMAT,2022,PRIMAVERA,2022-04-04,12,11
All CMAT,2022,PRIMAVERA,2022-04-05,5,5
All CMAT,2022,PRIMAVERA,2022-04-10,32,31
All CMAT,2022,PRIMAVERA,2022-04-11,24,24
All CMAT,2022,PRIMAVERA,2022-04-18,6,6
All CMAT,2022,PRIMAVERA,2022-04-19,3,3
All CMAT,2022,PRIMAVERA,2022-04-20,4,4
All CMAT,2022,PRIMAVERA,2022-04-21,3,2
All CMAT,2022,PRIMAVERA,2022-04-22,4,4
All CMAT,2022,PRIMAVERA,2022-04-25,7,4
All CMAT,2022,PRIMAVERA,2022-04-26,3,3
All CMAT,2022,PRIMAVERA,2022-04-27,4,4
All CMAT,2022,PRIMAVERA,2022-04-28,3,3
All CMAT,2022,PRIMAVERA,2022-04-29,3,3
All CMAT,2022,PRIMAVERA,2022-05-04,8,8
All CMAT,2022,PRIMAVERA,2022-05-05,4,4
All CMAT,2022,PRIMAVERA,2022-05-09,37,36
All CMAT,2022,PRIMAVERA,2022-05-10,41,39
All CMAT,2022,PRIMAVERA,2022-06-04,7,7
All CMAT,2022,PRIMAVERA,2022-06-05,1,1
All CMAT,2022,PRIMAVERA,2022-06-09,36,35
All CMAT,2022,PRIMAVERA,2022-06-10,35,31
All CMAT,2023,OTONO,2023-07-02,34,30
All CMAT,2023,OTONO,2023-07-03,33,29
All CMAT,2023,OTONO,2023-07-09,28,28
All CMAT,2023,OTONO,2023-07-11,25,22
All CMAT,2023,OTONO,2023-08-02,15,14
All CMAT,2023,OTONO,2023-08-03,29,25
All CMAT,2023,OTONO,2023-08-09,14,14
All CMAT,2023,OTONO,2023-08-11,37,34
All CMAT,2023,OTONO,2023-08-14,15,13
All CMAT,2023,OTONO,2023-08-15,13,11
All CMAT,2023,OTONO,2023-08-16,17,16
All CMAT,2023,OTONO,2023-08-17,18,12
All CMAT,2023,OTONO,2023-08-18,10,8
All CMAT,2023,OTONO,2023-08-21,24,24
All CMAT,2023,OTONO,2023-08-22,26,24
All CMAT,2023,OTONO,2023-08-23,23,23
All CMAT,2023,OTONO,2023-08-24,31,28
All CMAT,2023,OTONO,2023-08-25,12,8
All CMAT,2023,OTONO,2023-08-28,35,33
All CMAT,2023,OTONO,2023-08-29,39,36
All CMAT,2023,OTONO,2023-08-30,30,30
All CMAT,2023,OTONO,2023-08-31,48,38
All CMAT,2023,OTONO,2023-09-02,25,23
All CMAT,2023,OTONO,2023-09-03,7,7
All CMAT,2023,OTONO,2023-09-10,31,30
All CMAT,2023,OTONO,2023-09-11,18,17
All CMAT,2023,OTONO,2023-09-13,32,31
All CMAT,2023,OTONO,2023-09-14,24,21
All CMAT,2023,OTONO,2023-09-15,3,3
All CMAT,2023,OTONO,2023-09-18,34,33
All CMAT,2023,OTONO,2023-09-19,22,21
All CMAT,2023,OTONO,2023-09-20,27,27
All CMAT,2023,OTONO,2023-09-21,28,27
All CMAT,2023,OTONO,2023-09-22,2,2
All CMAT,2023,OTONO,2023-09-25,32,31
All CMAT,2023,OTONO,2023-09-26,33,32
All CMAT,2023,OTONO,2023-09-27,26,25
All CMAT,2023,OTONO,2023-09-28,35,34
All CMAT,2023,OTONO,2023-09-29,19,17
All CMAT,2023,OTONO,2023-10-04,23,21
All CMAT,2023,OTONO,2023-10-10,23,22
All CMAT,2023,OTONO,2023-10-11,10,10
All CMAT,2023,OTONO,2023-10-13,11,11
All CMAT,2023,OTONO,2023-10-16,20,20
All CMAT,2023,OTONO,2023-10-17,17,16
All CMAT,2023,OTONO,2023-10-18,33,33
All CMAT,2023,OTONO,2023-10-19,23,22
All CMAT,2023,OTONO,2023-10-20,3,3
All CMAT,2023,OTONO,2023-10-23,32,31
All CMAT,2023,OTONO,2023-10-24,31,27
All CMAT,2023,OTONO,2023-10-25,27,26
