CLASSROOM_ID,n_adverse_imputed,n_numeric_below_pass_pool,n_unique_numeric_below_pass_pool,method,kde_library,kde_bw_method,kde_factor,support_low,support_high_exclusive,seed
23835|2020|OTONO,5,4,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
22114|2020|OTONO,3,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23452|2022|OTONO,1,3,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23149|2022|OTONO,24,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
24097|2023|OTONO,1,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
22471|2023|OTONO,5,5,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.7247796636776955,0.0,7.5,42
23153|2024|PRIMAVERA,2,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23839|2023|OTONO,3,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23839|2024|PRIMAVERA,3,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
21779|2022|OTONO,4,4,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
22473|2022|OTONO,8,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
22446|2022|OTONO,3,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23153|2023|OTONO,8,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23823|2021|OTONO,1,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23149|2021|OTONO,18,12,9,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6083643418932057,0.0,7.5,42
23837|2020|PRIMAVERA,4,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
20792|2021|OTONO,7,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
24086|2022|PRIMAVERA,1,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
21853|2023|OTONO,2,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23149|2023|OTONO,27,6,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6988271187715792,0.0,7.5,42
18269|2021|PRIMAVERA,2,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23411|2022|OTONO,9,2,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23434|2021|OTONO,3,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
20792|2022|OTONO,13,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23425|2022|OTONO,3,9,5,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6443940149772542,0.0,7.5,42
23434|2021|PRIMAVERA,2,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23453|2021|OTONO,2,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23096|2022|OTONO,3,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
20792|2023|OTONO,13,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23152|2022|OTONO,10,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23852|2022|PRIMAVERA,1,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
21262|2023|OTONO,17,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
21779|2021|OTONO,4,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
21815|2020|OTONO,1,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23152|2023|PRIMAVERA,7,5,5,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.7247796636776955,0.0,7.5,42
22473|2023|OTONO,3,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23411|2023|PRIMAVERA,4,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
25503|2024|PRIMAVERA,2,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
24086|2023|OTONO,9,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23453|2021|PRIMAVERA,3,4,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
21853|2022|OTONO,7,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23824|2023|OTONO,5,2,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
21262|2020|OTONO,3,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23152|2021|OTONO,7,4,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
21779|2020|PRIMAVERA,2,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
24086|2021|OTONO,4,12,12,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6083643418932057,0.0,7.5,42
23411|2023|OTONO,5,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
22521|2023|OTONO,10,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
24086|2021|PRIMAVERA,1,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
22446|2023|PRIMAVERA,5,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
20792|2022|PRIMAVERA,4,2,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23897|2023|OTONO,2,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
21854|2024|PRIMAVERA,5,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23148|2024|PRIMAVERA,1,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23096|2023|OTONO,4,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23978|2023|OTONO,2,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
25494|2024|PRIMAVERA,9,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
22521|2023|PRIMAVERA,6,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23885|2023|OTONO,3,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23149|2020|PRIMAVERA,7,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
18269|2022|PRIMAVERA,3,6,6,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6988271187715792,0.0,7.5,42
24085|2022|PRIMAVERA,3,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
