population,YEAR,SESSION,VISIT_DATE,visits,unique_students
First-MU cohort during MU term,2020,OTONO,2020-09-29,4,4
First-MU cohort during MU term,2020,OTONO,2020-09-30,12,9
First-MU cohort during MU term,2020,OTONO,2020-10-09,8,8
First-MU cohort during MU term,2020,OTONO,2020-10-11,3,3
First-MU cohort during MU term,2020,OTONO,2020-10-12,6,6
First-MU cohort during MU term,2020,OTONO,2020-10-13,2,2
First-MU cohort during MU term,2020,OTONO,2020-10-14,4,4
First-MU cohort during MU term,2020,OTONO,2020-10-15,9,9
First-MU cohort during MU term,2020,OTONO,2020-10-16,4,3
First-MU cohort during MU term,2020,OTONO,2020-10-19,7,7
First-MU cohort during MU term,2020,OTONO,2020-10-20,3,3
First-MU cohort during MU term,2020,OTONO,2020-10-21,9,8
First-MU cohort during MU term,2020,OTONO,2020-10-22,6,5
First-MU cohort during MU term,2020,OTONO,2020-10-23,7,7
First-MU cohort during MU term,2020,OTONO,2020-10-26,13,13
First-MU cohort during MU term,2020,OTONO,2020-10-27,5,5
First-MU cohort during MU term,2020,OTONO,2020-10-28,4,4
First-MU cohort during MU term,2020,OTONO,2020-10-29,10,10
First-MU cohort during MU term,2020,OTONO,2020-10-30,4,4
First-MU cohort during MU term,2020,OTONO,2020-11-09,4,4
First-MU cohort during MU term,2020,OTONO,2020-11-11,3,3
First-MU cohort during MU term,2020,OTONO,2020-11-13,2,2
First-MU cohort during MU term,2020,OTONO,2020-11-17,3,2
First-MU cohort during MU term,2020,OTONO,2020-11-18,4,3
First-MU cohort during MU term,2020,OTONO,2020-11-19,1,1
First-MU cohort during MU term,2020,OTONO,2020-11-20,4,4
First-MU cohort during MU term,2020,OTONO,2020-11-23,7,7
First-MU cohort during MU term,2020,OTONO,2020-11-24,1,1
First-MU cohort during MU term,2020,OTONO,2020-11-25,6,3
First-MU cohort during MU term,2020,OTONO,2020-11-26,3,3
First-MU cohort during MU term,2020,OTONO,2020-11-27,5,5
First-MU cohort during MU term,2020,OTONO,2020-11-30,9,8
First-MU cohort during MU term,2020,OTONO,2020-12-10,8,8
First-MU cohort during MU term,2020,OTONO,2020-12-11,4,3
First-MU cohort during MU term,2020,PRIMAVERA,2020-01-09,2,2
First-MU cohort during MU term,2020,PRIMAVERA,2020-01-10,1,1
First-MU cohort during MU term,2020,PRIMAVERA,2020-01-12,2,2
First-MU cohort during MU term,2020,PRIMAVERA,2020-01-23,1,1
First-MU cohort during MU term,2020,PRIMAVERA,2020-01-27,1,1
First-MU cohort during MU term,2020,PRIMAVERA,2020-01-28,1,1
First-MU cohort during MU term,2020,PRIMAVERA,2020-01-30,1,1
First-MU cohort during MU term,2020,PRIMAVERA,2020-02-11,2,1
First-MU cohort during MU term,2020,PRIMAVERA,2020-02-13,7,6
First-MU cohort during MU term,2020,PRIMAVERA,2020-02-14,3,3
First-MU cohort during MU term,2020,PRIMAVERA,2020-02-17,3,3
First-MU cohort during MU term,2020,PRIMAVERA,2020-02-18,1,1
First-MU cohort during MU term,2020,PRIMAVERA,2020-02-20,3,3
First-MU cohort during MU term,2020,PRIMAVERA,2020-02-21,2,2
First-MU cohort during MU term,2020,PRIMAVERA,2020-02-24,3,3
First-MU cohort during MU term,2020,PRIMAVERA,2020-02-25,2,2
First-MU cohort during MU term,2020,PRIMAVERA,2020-03-03,4,3
First-MU cohort during MU term,2020,PRIMAVERA,2020-03-12,1,1
First-MU cohort during MU term,2020,PRIMAVERA,2020-04-02,4,4
First-MU cohort during MU term,2020,PRIMAVERA,2020-05-02,1,1
First-MU cohort during MU term,2020,PRIMAVERA,2020-05-03,5,5
First-MU cohort during MU term,2020,PRIMAVERA,2020-05-11,1,1
First-MU cohort during MU term,2020,PRIMAVERA,2020-06-02,2,2
First-MU cohort during MU term,2020,PRIMAVERA,2020-06-10,3,3
First-MU cohort during MU term,2021,OTONO,2021-07-09,7,5
First-MU cohort during MU term,2021,OTONO,2021-07-10,1,1
First-MU cohort during MU term,2021,OTONO,2021-08-09,4,4
First-MU cohort during MU term,2021,OTONO,2021-08-10,2,2
First-MU cohort during MU term,2021,OTONO,2021-08-11,8,8
First-MU cohort during MU term,2021,OTONO,2021-08-16,1,1
First-MU cohort during MU term,2021,OTONO,2021-08-19,3,3
First-MU cohort during MU term,2021,OTONO,2021-08-23,3,3
First-MU cohort during MU term,2021,OTONO,2021-08-24,1,1
First-MU cohort during MU term,2021,OTONO,2021-08-26,5,5
First-MU cohort during MU term,2021,OTONO,2021-08-27,3,3
First-MU cohort during MU term,2021,OTONO,2021-08-30,1,1
First-MU cohort during MU term,2021,OTONO,2021-08-31,3,3
First-MU cohort during MU term,2021,OTONO,2021-09-09,5,5
First-MU cohort during MU term,2021,OTONO,2021-09-11,7,7
First-MU cohort during MU term,2021,OTONO,2021-09-13,7,7
First-MU cohort during MU term,2021,OTONO,2021-09-14,1,1
First-MU cohort during MU term,2021,OTONO,2021-09-15,3,3
First-MU cohort during MU term,2021,OTONO,2021-09-20,5,5
First-MU cohort during MU term,2021,OTONO,2021-09-21,2,2
First-MU cohort during MU term,2021,OTONO,2021-09-23,2,2
First-MU cohort during MU term,2021,OTONO,2021-09-24,5,5
First-MU cohort during MU term,2021,OTONO,2021-09-27,3,3
First-MU cohort during MU term,2021,OTONO,2021-09-28,1,1
First-MU cohort during MU term,2021,OTONO,2021-09-29,1,1
First-MU cohort during MU term,2021,OTONO,2021-09-30,5,5
First-MU cohort during MU term,2021,OTONO,2021-10-02,1,1
First-MU cohort during MU term,2021,OTONO,2021-10-09,4,4
First-MU cohort during MU term,2021,OTONO,2021-10-11,3,3
First-MU cohort during MU term,2021,OTONO,2021-10-13,1,1
First-MU cohort during MU term,2021,OTONO,2021-10-14,1,1
First-MU cohort during MU term,2021,OTONO,2021-10-15,6,6
First-MU cohort during MU term,2021,OTONO,2021-10-18,9,8
First-MU cohort during MU term,2021,OTONO,2021-10-19,1,1
First-MU cohort during MU term,2021,OTONO,2021-10-20,4,4
First-MU cohort during MU term,2021,OTONO,2021-10-21,4,4
First-MU cohort during MU term,2021,OTONO,2021-10-25,8,8
First-MU cohort during MU term,2021,OTONO,2021-10-26,5,5
First-MU cohort during MU term,2021,OTONO,2021-10-27,3,3
First-MU cohort during MU term,2021,OTONO,2021-10-28,2,2
First-MU cohort during MU term,2021,OTONO,2021-10-29,7,7
First-MU cohort during MU term,2021,OTONO,2021-11-10,6,6
First-MU cohort during MU term,2021,OTONO,2021-11-11,4,3
First-MU cohort during MU term,2021,OTONO,2021-11-16,4,4
First-MU cohort during MU term,2021,OTONO,2021-11-17,2,2
First-MU cohort during MU term,2021,OTONO,2021-11-18,7,7
First-MU cohort during MU term,2021,OTONO,2021-11-19,2,2
First-MU cohort during MU term,2021,OTONO,2021-11-22,6,3
First-MU cohort during MU term,2021,OTONO,2021-11-23,2,2
First-MU cohort during MU term,2021,OTONO,2021-11-24,2,2
First-MU cohort during MU term,2021,OTONO,2021-11-25,7,7
First-MU cohort during MU term,2021,OTONO,2021-11-26,2,2
First-MU cohort during MU term,2021,OTONO,2021-11-30,2,2
First-MU cohort during MU term,2021,OTONO,2021-12-10,6,6
First-MU cohort during MU term,2021,OTONO,2021-12-11,8,8
First-MU cohort during MU term,2021,PRIMAVERA,2021-01-09,9,9
First-MU cohort during MU term,2021,PRIMAVERA,2021-01-10,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-01-26,2,2
First-MU cohort during MU term,2021,PRIMAVERA,2021-02-03,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-02-11,3,3
First-MU cohort during MU term,2021,PRIMAVERA,2021-02-15,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-02-16,7,4
First-MU cohort during MU term,2021,PRIMAVERA,2021-02-18,3,3
First-MU cohort during MU term,2021,PRIMAVERA,2021-02-22,2,2
First-MU cohort during MU term,2021,PRIMAVERA,2021-02-23,2,2
First-MU cohort during MU term,2021,PRIMAVERA,2021-02-24,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-02-25,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-02-26,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-03-02,2,2
First-MU cohort during MU term,2021,PRIMAVERA,2021-03-05,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-03-09,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-03-11,5,4
First-MU cohort during MU term,2021,PRIMAVERA,2021-03-16,2,2
First-MU cohort during MU term,2021,PRIMAVERA,2021-03-18,2,2
First-MU cohort during MU term,2021,PRIMAVERA,2021-03-24,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-02,3,2
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-03,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-05,2,2
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-10,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-11,3,3
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-13,3,3
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-15,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-19,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-20,3,3
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-21,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-27,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-28,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-04-29,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-05-03,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-05-10,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-05-13,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-06-05,1,1
First-MU cohort during MU term,2021,PRIMAVERA,2021-06-10,1,1
First-MU cohort during MU term,2022,OTONO,2022-07-09,25,24
First-MU cohort during MU term,2022,OTONO,2022-07-10,8,6
First-MU cohort during MU term,2022,OTONO,2022-07-11,17,16
First-MU cohort during MU term,2022,OTONO,2022-08-09,19,16
First-MU cohort during MU term,2022,OTONO,2022-08-11,12,11
First-MU cohort during MU term,2022,OTONO,2022-08-15,5,5
First-MU cohort during MU term,2022,OTONO,2022-08-17,9,9
First-MU cohort during MU term,2022,OTONO,2022-08-18,3,3
First-MU cohort during MU term,2022,OTONO,2022-08-22,13,13
First-MU cohort during MU term,2022,OTONO,2022-08-23,3,3
First-MU cohort during MU term,2022,OTONO,2022-08-24,17,17
First-MU cohort during MU term,2022,OTONO,2022-08-25,9,9
First-MU cohort during MU term,2022,OTONO,2022-08-26,4,4
First-MU cohort during MU term,2022,OTONO,2022-08-29,13,12
First-MU cohort during MU term,2022,OTONO,2022-08-30,8,8
First-MU cohort during MU term,2022,OTONO,2022-08-31,27,27
First-MU cohort during MU term,2022,OTONO,2022-09-09,5,5
First-MU cohort during MU term,2022,OTONO,2022-09-11,17,17
First-MU cohort during MU term,2022,OTONO,2022-09-13,4,4
First-MU cohort during MU term,2022,OTONO,2022-09-14,16,16
First-MU cohort during MU term,2022,OTONO,2022-09-15,7,6
First-MU cohort during MU term,2022,OTONO,2022-09-19,14,14
First-MU cohort during MU term,2022,OTONO,2022-09-20,12,11
First-MU cohort during MU term,2022,OTONO,2022-09-21,20,19
First-MU cohort during MU term,2022,OTONO,2022-09-22,13,13
First-MU cohort during MU term,2022,OTONO,2022-09-23,1,1
First-MU cohort during MU term,2022,OTONO,2022-09-26,24,23
First-MU cohort during MU term,2022,OTONO,2022-09-27,7,7
First-MU cohort during MU term,2022,OTONO,2022-09-28,17,17
First-MU cohort during MU term,2022,OTONO,2022-09-29,21,18
First-MU cohort during MU term,2022,OTONO,2022-09-30,4,3
First-MU cohort during MU term,2022,OTONO,2022-10-10,20,14
First-MU cohort during MU term,2022,OTONO,2022-10-11,16,16
First-MU cohort during MU term,2022,OTONO,2022-10-13,25,24
First-MU cohort during MU term,2022,OTONO,2022-10-14,5,5
First-MU cohort during MU term,2022,OTONO,2022-10-17,14,13
First-MU cohort during MU term,2022,OTONO,2022-10-18,14,13
First-MU cohort during MU term,2022,OTONO,2022-10-19,21,21
First-MU cohort during MU term,2022,OTONO,2022-10-20,22,22
First-MU cohort during MU term,2022,OTONO,2022-10-21,1,1
First-MU cohort during MU term,2022,OTONO,2022-10-24,12,12
First-MU cohort during MU term,2022,OTONO,2022-10-25,9,9
First-MU cohort during MU term,2022,OTONO,2022-10-26,25,25
First-MU cohort during MU term,2022,OTONO,2022-10-27,23,21
First-MU cohort during MU term,2022,OTONO,2022-10-28,9,6
First-MU cohort during MU term,2022,OTONO,2022-10-31,21,20
First-MU cohort during MU term,2022,OTONO,2022-11-10,13,13
First-MU cohort during MU term,2022,OTONO,2022-11-11,3,3
First-MU cohort during MU term,2022,OTONO,2022-11-14,20,19
First-MU cohort during MU term,2022,OTONO,2022-11-15,26,26
First-MU cohort during MU term,2022,OTONO,2022-11-16,27,27
First-MU cohort during MU term,2022,OTONO,2022-11-17,22,21
First-MU cohort during MU term,2022,OTONO,2022-11-18,4,4
First-MU cohort during MU term,2022,OTONO,2022-11-22,16,15
First-MU cohort during MU term,2022,OTONO,2022-11-23,28,25
First-MU cohort during MU term,2022,OTONO,2022-11-24,13,11
First-MU cohort during MU term,2022,OTONO,2022-11-25,3,3
First-MU cohort during MU term,2022,OTONO,2022-12-09,16,16
First-MU cohort during MU term,2022,OTONO,2022-12-10,15,15
First-MU cohort during MU term,2022,PRIMAVERA,2022-01-04,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-01-09,2,2
First-MU cohort during MU term,2022,PRIMAVERA,2022-01-11,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-01-20,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-01-27,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-02-11,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-02-15,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-02-16,2,2
First-MU cohort during MU term,2022,PRIMAVERA,2022-02-22,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-02-24,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-02,2,2
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-03,2,2
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-05,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-10,3,3
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-11,6,5
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-16,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-18,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-22,3,2
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-24,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-29,2,2
First-MU cohort during MU term,2022,PRIMAVERA,2022-03-31,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-04-10,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-04-11,5,5
First-MU cohort during MU term,2022,PRIMAVERA,2022-04-18,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-04-19,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-04-26,2,2
First-MU cohort during MU term,2022,PRIMAVERA,2022-04-28,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-05-04,2,2
First-MU cohort during MU term,2022,PRIMAVERA,2022-05-05,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-05-09,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-05-10,1,1
First-MU cohort during MU term,2022,PRIMAVERA,2022-06-04,2,2
First-MU cohort during MU term,2022,PRIMAVERA,2022-06-09,4,4
First-MU cohort during MU term,2022,PRIMAVERA,2022-06-10,1,1
First-MU cohort during MU term,2023,OTONO,2023-07-09,17,17
First-MU cohort during MU term,2023,OTONO,2023-07-11,9,7
First-MU cohort during MU term,2023,OTONO,2023-08-09,8,8
First-MU cohort during MU term,2023,OTONO,2023-08-11,19,17
First-MU cohort during MU term,2023,OTONO,2023-08-14,8,7
First-MU cohort during MU term,2023,OTONO,2023-08-15,2,2
First-MU cohort during MU term,2023,OTONO,2023-08-16,5,4
First-MU cohort during MU term,2023,OTONO,2023-08-17,2,2
First-MU cohort during MU term,2023,OTONO,2023-08-18,6,4
First-MU cohort during MU term,2023,OTONO,2023-08-21,10,10
First-MU cohort during MU term,2023,OTONO,2023-08-22,4,4
First-MU cohort during MU term,2023,OTONO,2023-08-23,12,12
First-MU cohort during MU term,2023,OTONO,2023-08-24,12,11
First-MU cohort during MU term,2023,OTONO,2023-08-25,7,3
First-MU cohort during MU term,2023,OTONO,2023-08-28,19,19
First-MU cohort during MU term,2023,OTONO,2023-08-29,8,8
First-MU cohort during MU term,2023,OTONO,2023-08-30,7,7
First-MU cohort during MU term,2023,OTONO,2023-08-31,27,22
First-MU cohort during MU term,2023,OTONO,2023-09-10,14,14
First-MU cohort during MU term,2023,OTONO,2023-09-11,12,11
First-MU cohort during MU term,2023,OTONO,2023-09-13,11,11
First-MU cohort during MU term,2023,OTONO,2023-09-14,13,11
First-MU cohort during MU term,2023,OTONO,2023-09-15,2,2
First-MU cohort during MU term,2023,OTONO,2023-09-18,14,14
First-MU cohort during MU term,2023,OTONO,2023-09-19,10,10
First-MU cohort during MU term,2023,OTONO,2023-09-20,9,9
First-MU cohort during MU term,2023,OTONO,2023-09-21,15,14
First-MU cohort during MU term,2023,OTONO,2023-09-22,1,1
First-MU cohort during MU term,2023,OTONO,2023-09-25,14,14
First-MU cohort during MU term,2023,OTONO,2023-09-26,15,14
First-MU cohort during MU term,2023,OTONO,2023-09-27,11,11
First-MU cohort during MU term,2023,OTONO,2023-09-28,13,13
First-MU cohort during MU term,2023,OTONO,2023-09-29,6,4
First-MU cohort during MU term,2023,OTONO,2023-10-10,10,10
First-MU cohort during MU term,2023,OTONO,2023-10-11,4,4
First-MU cohort during MU term,2023,OTONO,2023-10-13,4,4
First-MU cohort during MU term,2023,OTONO,2023-10-16,13,13
First-MU cohort during MU term,2023,OTONO,2023-10-17,9,9
First-MU cohort during MU term,2023,OTONO,2023-10-18,19,19
First-MU cohort during MU term,2023,OTONO,2023-10-19,13,12
First-MU cohort during MU term,2023,OTONO,2023-10-20,1,1
First-MU cohort during MU term,2023,OTONO,2023-10-23,11,11
First-MU cohort during MU term,2023,OTONO,2023-10-24,19,16
First-MU cohort during MU term,2023,OTONO,2023-10-25,13,13
First-MU cohort during MU term,2023,OTONO,2023-10-26,19,18
First-MU cohort during MU term,2023,OTONO,2023-10-27,4,4
First-MU cohort during MU term,2023,OTONO,2023-10-30,21,21
First-MU cohort during MU term,2023,OTONO,2023-10-31,18,17
First-MU cohort during MU term,2023,OTONO,2023-11-09,12,12
First-MU cohort during MU term,2023,OTONO,2023-11-10,21,20
First-MU cohort during MU term,2023,OTONO,2023-11-13,25,25
First-MU cohort during MU term,2023,OTONO,2023-11-14,24,23
First-MU cohort during MU term,2023,OTONO,2023-11-15,20,20
First-MU cohort during MU term,2023,OTONO,2023-11-16,17,11
First-MU cohort during MU term,2023,OTONO,2023-11-17,4,3
First-MU cohort during MU term,2023,OTONO,2023-11-21,3,3
First-MU cohort during MU term,2023,OTONO,2023-11-22,17,17
First-MU cohort during MU term,2023,OTONO,2023-11-23,3,3
First-MU cohort during MU term,2023,OTONO,2023-11-24,3,3
First-MU cohort during MU term,2023,OTONO,2023-12-09,5,5
First-MU cohort during MU term,2023,OTONO,2023-12-10,14,14
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-02,6,5
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-03,3,3
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-09,3,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-16,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-17,4,4
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-18,3,3
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-19,2,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-23,3,3
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-24,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-26,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-30,2,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-01-31,4,3
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-05,7,6
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-11,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-13,15,9
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-14,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-15,4,4
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-16,2,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-20,2,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-21,4,4
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-22,4,4
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-27,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-02-28,4,4
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-05,2,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-10,6,6
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-11,3,3
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-13,4,4
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-14,4,3
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-15,10,7
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-16,3,3
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-21,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-22,2,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-23,3,3
